timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1674518400000,1626.28000000,1641.46000000,1535.00000000,1555.97000000,462275.32430000,1674604799999,742483248.77844800,664260,219529.25860000,352794905.89212400,0
1674604800000,1555.97000000,1641.00000000,1518.00000000,1611.94000000,646474.91660000,1674691199999,1010958308.52325900,832576,336800.33510000,527017728.01554900,0
1674691200000,1611.95000000,1632.84000000,1577.43000000,1601.09000000,532777.84660000,1674777599999,856294452.54907200,661710,255584.49690000,410800055.45538000,0
1674777600000,1601.08000000,1621.00000000,1552.54000000,1597.62000000,512093.38750000,1674863999999,810894459.59281200,721339,271725.69000000,430230772.25918000,0
1674864000000,1597.61000000,1606.83000000,1555.99000000,1572.10000000,313675.65740000,1674950399999,496009423.63276900,461988,159807.55300000,252625590.62853900,0
1674950400000,1572.10000000,1660.00000000,1566.33000000,1644.72000000,551767.91340000,1675036799999,892135111.02851000,747055,281776.01770000,455478541.95457700,0
1675036800000,1644.73000000,1647.53000000,1535.00000000,1566.20000000,595055.32810000,1675123199999,945663093.91811700,783703,287321.04070000,456477684.32953700,0
1675123200000,1566.21000000,1605.18000000,1561.63000000,1585.33000000,348856.67510000,1675209599999,550862274.14769300,565125,173798.96670000,274479554.84606200,0
1675209600000,1585.32000000,1647.77000000,1555.18000000,1641.68000000,474617.17090000,1675295999999,757974339.88815100,795274,246070.22170000,393191559.89692000,0
1675296000000,1641.67000000,1714.68000000,1626.85000000,1643.12000000,629188.88740000,1675382399999,1052104526.87265700,939545,314689.80730000,526350550.18805000,0
1675382400000,1643.12000000,1676.00000000,1625.93000000,1663.52000000,464815.03200000,1675468799999,766949169.43042200,714675,229573.04490000,378846983.90134100,0
1675468800000,1663.52000000,1695.29000000,1645.43000000,1666.38000000,308227.12950000,1675555199999,514857995.98579800,559308,153457.14200000,256353550.30522300,0
1675555200000,1666.39000000,1673.81000000,1609.30000000,1629.02000000,413579.67480000,1675641599999,680127291.92674400,680427,198540.87760000,326481458.83642700,0
