open,high,low,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,average_price,price_change,target_close
16541.77,16628.0,16499.01,96925.41374,1604793789.6772127,3218355,48548.78168,803841673.8350587,16563.504999999997,74.97999999999956,16672.87
16617.17,16799.23,16548.7,121888.57191,2034683215.2678783,4036118,60925.25948,1017074780.6918064,16673.965,55.70000000000073,16675.18
16672.78,16778.4,16605.28,159541.53733,2662765916.3256683,5097596,79595.76246,1328471402.7136745,16691.84,2.400000000001455,16850.36
16675.65,16991.87,16652.66,220362.18862,3709833209.8453646,6310703,109747.11502,1847617011.3853767,16822.265,174.70999999999913,16831.85
16850.36,16879.82,16753.0,163473.56641,2751080253.8177333,4842014,80959.57162,1362471754.0532992,16816.41,-18.510000000002037,16950.65
16831.85,17041.0,16679.0,207401.28415,3490305009.6881223,5388661,103320.22965,1738828235.2023003,16860.0,118.80000000000291,16943.57
16950.31,16981.91,16908.0,104526.5688,1770201710.2089734,3227161,51624.83107,874295207.6365123,16944.955,-6.740000000001601,17127.83
16943.83,17176.99,16911.0,135155.89695,2291925699.958545,4036092,67200.6025,1139647002.7608511,17043.995000000003,184.0,17178.26
17127.83,17398.8,17104.66,266211.52723,4590284350.546168,6327667,131748.52517,2271681164.7993326,17251.73,50.42999999999665,17440.66
17179.04,17499.0,17146.34,221382.42581,3829247653.731105,5448751,109377.45606,1891995855.287608,17322.67,261.619999999999,17943.26
17440.64,18000.0,17315.6,262221.60653,4586965947.26355,5627464,129944.5693,2273368097.029264,17657.8,502.619999999999,18846.62
17943.26,19117.04,17892.05,454568.32178,8348431207.846009,8911373,227295.33172,4174813798.3828607,18504.545,903.3600000000006,19930.01
18846.62,20000.0,18714.12,368615.87823,7061633461.444735,8021774,183448.89377,3515300890.305057,19357.059999999998,1083.3899999999994,20954.92
19930.01,21258.0,19888.05,393913.74951,8183071567.046188,8659545,197817.55209,4109568162.17042,20573.025,1024.9099999999999,20871.5
20952.76,21050.74,20551.01,178542.22549,3710526606.1389647,5194354,88310.83908,1835436631.7038703,20800.875,-81.2599999999984,21185.65
20872.99,21474.05,20611.48,293078.08262,6168654053.042638,6856434,145352.66942,3059597458.3853526,21042.765,312.65999999999985,21134.81
21185.65,21647.45,20841.31,275407.74409,5840585769.490093,6440138,137121.64311,2908227174.2490306,21244.38,-50.840000000000146,20677.47
21132.29,21650.0,20407.15,350916.01949,7399719195.246726,7617173,173174.4169,3652037808.316215,21028.575,-454.8199999999997,21071.59
20677.47,21192.0,20659.19,251385.84925,5243024330.011201,5819932,124924.23436,2605629874.089028,20925.595,394.119999999999,22667.21
21071.59,22755.93,20861.28,338079.13659,7256172889.710531,7382435,170200.04869,3654038898.270929,21808.605,1595.619999999999,22783.55
22666.0,23371.8,22422.0,346445.48432,7938935168.532013,7796520,172663.17131,3956916674.402963,22896.9,117.54999999999927,22707.88
22783.35,23078.71,22292.37,253577.75286,5775552321.54412,6603827,125842.91663,2866409820.7225704,22685.54,-75.46999999999753,22916.45
22706.02,23180.0,22500.0,293588.37938,6704191295.97568,7258655,145854.70936,3330927704.4836106,22840.0,210.4300000000003,22632.89
22917.81,23162.2,22462.93,293158.78254,6721432962.573842,7395584,144239.84356,3307407342.13858,22812.565000000002,-284.9200000000019,23060.94
22631.94,23816.73,22300.0,346042.83223,7875590359.115837,8060446,172647.90115,3929821773.965117,23058.364999999998,429.0,23009.65
23060.42,23282.47,22850.01,288924.43581,6664592468.337928,7181086,143185.08341,3303064271.0511746,23066.239999999998,-50.7699999999968,23074.16
23009.65,23500.0,22534.88,280833.86315,6461707755.053915,7079096,139699.27638,3214623770.84504,23017.440000000002,64.5099999999984,23022.6
23074.16,23189.0,22878.46,148115.71085,3408985411.316586,4181816,73861.83566,1700057503.749539,23033.73,-51.56000000000131,23742.3
23021.4,23960.54,22967.76,295688.79204,6941922954.136406,7030837,149507.5061,3510026672.7997174,23464.15,720.8999999999978,22826.15
23743.37,23800.51,22500.0,302405.90121,7020727239.059652,7790224,149096.53066,3461492907.1726055,23150.254999999997,-917.2199999999975,23125.13
22827.38,23320.0,22714.77,264649.34909,6083858924.538485,6798411,133028.12717,3058369006.2406993,23017.385000000002,297.75,23732.66
23125.13,23812.66,22760.23,310790.42271,7212542002.325099,7863213,156107.58478,3623730152.719127,23286.445,607.5299999999988,23488.94
23731.41,24255.0,23363.27,364177.20751,8673696845.80511,9102300,181814.20318,4330715913.906593,23809.135000000002,-242.47000000000116,23431.9
23489.33,23715.7,23204.62,332571.02904,7806490899.914181,8007846,166143.33246,3900042090.5163646,23460.16,-57.43000000000029,23326.84
23431.9,23587.78,23253.96,166126.47295,3886777607.7960505,4852404,81863.93145,1915443497.6889515,23420.87,-105.06000000000131,22932.91
23327.66,23433.33,22743.0,209251.33917,4842463016.833934,5903916,103885.22312,2404286621.1203337,23088.165,-394.75,22762.52
22932.91,23158.25,22628.13,265371.6069,6076050768.117039,6956395,132350.52989,3030470974.62453,22893.190000000002,-170.38999999999942,23240.46
22762.52,23350.25,22745.78,308006.72482,7085929136.45685,8293878,154613.24744,3557209786.515369,23048.015,477.9399999999987,22963.0
23242.42,23452.0,22665.85,280056.30717,6457585647.820655,7896433,138627.72636,3196783919.630122,23058.925,-279.41999999999825,21796.35
22961.85,23011.39,21688.0,402894.6955,9052973327.19716,9784291,199309.68374,4478800426.302857,22349.695,-1165.5,21625.19
21797.83,21938.16,21451.0,338591.94247,7369456394.906654,6993675,167419.66937,3644087094.706669,21694.58,-172.64000000000306,21862.55
21625.19,21906.32,21599.78,177021.58433,3842000897.79758,4207940,87937.9597,1908638569.77981,21753.05,237.36000000000058,21783.54
21862.02,22090.0,21630.0,204435.65163,4469822441.4372015,4561903,101194.34699,2212545781.0931144,21860.0,-78.47999999999956,21773.97
21782.37,21894.99,21351.07,295730.76791,6404813758.2696295,6503611,147221.38569,3188732830.1994424,21623.03,-8.399999999997817,22199.84
21774.63,22319.08,21532.77,361958.40109,7938385476.792083,7695927,182006.71562,3991901041.9023833,21925.925000000003,425.2099999999991,24324.05
22199.84,24380.0,22047.28,375669.16111,8604133693.663172,8335550,190798.1552,4372346767.103614,23213.64,2124.209999999999,23517.72
24322.87,25250.0,23505.25,450080.68366,11074988148.779009,11006793,224396.77566,5522891581.325578,24377.625,-805.1499999999978,24569.97
23517.72,25021.11,23339.37,496813.21376,11968532252.057327,10895009,249087.94774,6001870488.345367,24180.239999999998,1052.25,24631.95
24568.24,24877.0,24430.0,216917.25213,5339920389.516133,6296097,107467.08761,2645647445.819601,24653.5,63.70999999999913,24271.76
24632.05,25192.0,24192.57,300395.99542,7408745406.624342,7660484,149680.28058,3692030229.980345,24692.285,-360.2900000000009,24842.2
24272.51,25121.23,23840.83,346938.56997,8561226688.07291,9808728,174453.04334,4305469238.849921,24481.03,569.6900000000023,24452.16
24843.89,25250.0,24148.34,376000.82868,9280992344.428871,10712371,187029.49757,4617218785.187702,24699.17,-391.72999999999956,24182.21
24450.67,24476.05,23574.69,379425.75365,9101745945.990707,11395957,188203.74268,4515001623.435452,24025.37,-268.4599999999991,23940.2
24182.21,24599.59,23608.0,398400.45437,9596083721.512953,11396877,198080.68369,4771375630.511308,24103.795,-242.0099999999984,23185.29
23940.2,24132.35,22841.19,343582.57453,8087524100.39044,11531424,170263.13353,4008150118.2168,23486.769999999997,-754.9099999999999,23157.07
23184.04,23219.13,22722.0,191311.8101,4406286300.272117,9124568,94440.13964,2175283940.9041314,22970.565000000002,-26.970000000001164,23554.85
23157.07,23689.99,23059.18,202323.73623,4716158181.22559,9506015,101003.39278,2354572412.6900682,23374.585,397.77999999999884,23492.09
23554.85,23897.99,23106.77,283706.0859,6659785788.329373,11754195,141360.04845,3318353869.99525,23502.38,-62.7599999999984,23141.57
23492.09,23600.0,23020.97,264140.99894,6172930936.037335,9568743,131200.82704,3066249880.6703186,23310.485,-350.52000000000044,23628.97
23141.57,24000.0,23020.03,315287.41737,7441571085.495408,9390487,157961.92667,3728256787.1100945,23510.015,487.40000000000146,23465.32
23629.76,23796.93,23195.9,239315.45219,5603770010.239548,7435815,119522.00584,2798797976.70041,23496.415,-164.4399999999987,22354.34
23465.32,23476.95,21971.13,319954.19785,7167184765.7436495,8214639,156827.31366,3512245357.1861916,22724.04,-1110.9799999999996,22346.57
22354.34,22410.0,22157.08,121257.38132,2706422995.680256,4169260,60043.33153,1340204531.15407,22283.54,-7.770000000000437,22430.24
22346.57,22662.09,22189.22,154841.75786,3473011455.187952,4835978,77394.35765,1735989090.899561,22425.655,83.67000000000189,22410.0
22430.24,22602.19,22258.0,203751.82957,4569102169.18569,6471278,102110.26304,2289889200.1667166,22430.095,-20.2400000000016,22197.96
22409.41,22557.91,21927.0,292519.80912,6517594938.246053,7813394,145498.64219,3242136502.6546726,22242.455,-211.45000000000073,21705.44
22198.56,22287.0,21580.0,301460.57272,6641171704.242421,8018963,150008.02488,3304860256.104994,21933.5,-493.1200000000026,20362.22
21704.37,21834.99,20042.72,443658.28584,9403028764.707773,10076702,217900.59621,4619803522.043237,20938.855000000003,-1342.1499999999978,20150.69
20362.21,20367.78,19549.09,618456.4671,12344992788.912497,12106261,308155.80993,6151475123.535514,19958.434999999998,-211.52000000000044,20455.73
20150.69,20686.51,19765.03,427831.82133,8651590672.468525,10412300,213151.47855,4310534195.909292,20225.769999999997,305.0400000000009,21997.11
20455.73,22150.0,20270.6,430944.94288,8982418413.80114,9721933,218639.0688,4558127964.925805,21210.3,1541.380000000001,24113.48
21998.05,24500.0,21813.88,687889.31259,15824996078.605639,14820760,346688.17025,7976620081.706098,23156.940000000002,2115.4300000000003,24670.41
24112.27,26386.87,23976.42,699360.93423,17465307097.88407,15223589,351739.11994,8783916247.676138,25181.644999999997,558.1399999999994,24285.66
24670.41,25196.97,23896.95,581450.72984,14291005743.897852,12613034,291192.86696,7157472156.962334,24546.96,-384.75,24998.78
24285.66,25167.4,24123.0,439421.32998,10847330151.941004,10418081,220403.30289,5441432259.260846,24645.2,713.119999999999,27395.13
24998.78,27756.84,24890.0,624460.68091,16476681071.24338,13113359,318022.61356,8392477832.002321,26323.42,2396.350000000002,26907.49
27395.13,27724.85,26578.0,371238.97174,10135945069.642628,9948603,185687.70768,5070480124.593879,27151.425,-487.6399999999994,27972.87
26907.49,28390.1,26827.22,372066.99054,10264707987.594164,9578297,188150.56147,5191102286.400918,27608.66,1065.3799999999974,27717.01
27972.87,28472.0,27124.47,477378.23373,13300424536.514921,11775950,239765.29148,6680704887.5321455,27798.235,-255.86000000000058,28105.47
27717.01,28438.55,27303.1,420929.7422,11760492716.33759,11530870,210472.34027,5880942507.63001,27870.824999999997,388.46000000000276,27250.97
28107.81,28868.05,26601.8,224113.41296,6272099822.449624,3589327,110355.97386,3089585214.115064,27734.925,-856.8400000000001,28295.41
27250.97,28750.0,27105.0,128649.60818,3591123573.1149583,2159091,65172.02479,1819323637.2903445,27927.5,1044.4399999999987,27454.47
28295.42,28374.3,27000.0,86242.06544,2403443392.0273013,1511137,41449.56122,1155147465.7389932,27687.15,-840.9499999999971,27462.95
27454.46,27787.33,27156.09,50844.08102,1397227639.2141378,1088721,25326.94876,696042529.0839624,27471.71,8.4900000000016,27968.05
27462.96,28194.4,27417.76,49671.70353,1380973402.9961205,1068196,25248.15818,702028235.0573264,27806.08,505.09000000000015,27124.91
27968.05,28023.86,26508.14,88039.46898,2407130888.034605,1575264,43151.91539,1179905180.6135278,27266.0,-843.1399999999994,27261.07
27124.9,27520.0,26631.78,78602.44341,2124533606.765556,1521981,38972.61486,1053473599.2587688,27075.89,136.16999999999825,28348.6
27261.06,28650.0,27240.1,89486.16008,2519887866.2111588,1704217,45742.08025,1288220696.4926782,27945.05,1087.5399999999972,28028.53
28348.6,29184.68,27686.0,98865.43256,2808471938.6424427,1843652,49100.20979,1394972886.7062368,28435.34,-320.0699999999997,28465.36
28028.53,28656.69,27511.71,78198.12139,2203253311.777351,1537349,39636.47111,1117184234.1868577,28084.199999999997,436.83000000000175,28452.73
28465.36,28819.71,28220.27,30238.44753,860804237.452269,822781,15171.37738,431931567.4827481,28519.989999999998,-12.630000000001019,28171.87
28452.74,28530.0,27856.43,37365.65692,1053600933.0676804,938464,17897.01839,504647268.0863643,28193.215,-280.8700000000026,27800.0
28171.87,28500.99,27200.24,79180.01405,2214361048.7823668,1651062,40534.82008,1133865764.0916288,27850.615,-371.869999999999,28165.47
27800.0,28444.44,27662.79,49722.55691,1397141464.875036,1102007,25083.95234,704845402.4191409,28053.614999999998,365.47000000000116,28170.01
28165.47,28775.0,27805.1,60737.64732,1721098539.0660567,1262730,30556.88672,865971090.1704682,28290.05,4.539999999997235,28033.82
28170.01,28182.05,27711.0,40118.94963,1122713087.5561826,934548,19308.64369,540384260.8568,27946.525,-136.1899999999987,27906.33
28033.83,28100.0,27766.94,24762.09387,691323748.9286413,655634,11983.13367,334559478.4702819,27933.47,-127.5,27938.38
27906.34,28154.99,27859.02,19479.96735,545324518.6860753,624159,9729.24214,272366679.3440387,28007.005,32.04000000000087,28323.76
27938.38,28530.0,27800.0,32531.16101,913915923.6951956,777589,16885.70757,474454325.3569296,28165.0,385.3799999999974,29637.34
28323.76,29770.0,28170.0,67754.0622,1955300943.1708305,1285695,36147.62326,1043138687.5916125,28970.0,1313.5800000000017,30200.42
29637.35,30550.0,29590.0,67990.07621,2046078278.0821176,1340458,34766.92718,1046250622.2934568,30070.0,563.0699999999997,29888.07
30200.43,30486.0,29637.4,62049.48451,1863497606.1415305,1246556,31136.38576,935223730.572567,30061.7,-312.3600000000006,30373.84
29888.07,30595.0,29854.59,51934.11731,1571091101.1299672,1054144,26767.65298,809748635.0025868,30224.795,485.77000000000044,30466.93
30373.84,31000.0,29966.0,75984.19452,2323267494.38023,1504180,38406.59006,1174371283.5651665,30483.0,93.09000000000015,30295.09
30466.93,30595.6,30202.0,25429.81247,772211097.614016,732418,12424.34509,377293528.31290674,30398.8,-171.84000000000015,30304.65
30295.1,30549.99,30120.0,26431.99322,801322926.1525651,708233,13163.73591,399115587.0035981,30334.995000000003,9.55000000000291,29430.27
30304.66,30316.06,29240.65,56441.81127,1675287761.4330356,1137294,26880.17771,797711012.8071816,29778.355000000003,-874.3899999999994,30380.01
29430.27,30485.0,29096.78,62004.89434,1861001491.9786973,1141562,32417.57068,972769560.730304,29790.89,949.739999999998,28797.1
30380.01,30413.53,28520.0,86575.48656,2541283888.3034472,1699891,41467.78872,1217556267.201096,29466.765,-1582.9099999999999,28243.65
28797.1,29088.3,28010.0,76879.09372,2198854031.424746,1434642,36919.58585,1055949765.7724996,28549.15,-553.4499999999971,27262.84
28243.65,28374.02,27125.0,77684.7679,2164667611.9354606,1463628,38419.13612,1070540576.475792,27749.510000000002,-980.8100000000013,27816.85
27262.84,27882.72,27140.35,36023.69686,989379475.3218232,859500,18612.89655,511200971.6362268,27511.535,554.0099999999984,27590.6
27816.85,27816.85,27311.25,34812.09581,959389698.7572552,873485,17610.47671,485328645.6943109,27564.05,-226.25,27510.93
27590.59,28000.0,26942.82,53111.56874,1458406515.6404212,1211080,25641.28044,704079582.6514921,27471.41,-79.65999999999985,28300.79
27510.93,28399.99,27192.0,52325.14637,1446329375.242731,1087067,26833.47192,742069216.9989536,27795.995000000003,789.8600000000006,28415.29
28300.8,30036.0,27235.0,129228.40403,3719701461.909163,2261942,64540.55521,1857698379.2654004,28635.5,114.4900000000016,29472.77
28415.29,29890.0,28378.86,95430.82431,2784859692.36462,1990148,48601.97474,1418439305.6179047,29134.43,1057.4799999999996,29311.7
29472.77,29599.54,28891.0,54298.16578,1590683771.668198,1129240,26659.2164,780784851.5470375,29245.27,-161.0699999999997,29230.45
29311.69,29448.88,29031.0,20466.83058,599466910.0466621,619319,10024.59978,293627195.7058327,29239.940000000002,-81.23999999999796,29233.21
29230.45,29969.39,29079.59,39752.5372,1172155267.8761897,949458,19894.27252,586711670.5560739,29524.489999999998,2.7599999999983993,28068.26
29233.2,29337.34,27666.95,64433.65958,1828221138.95444,1362793,30761.9269,872712018.1808255,28502.145,-1164.9400000000023,28669.86
28068.26,28879.88,27872.0,50824.5224,1441733922.0116444,1174697,24789.36748,703206831.7801807,28375.940000000002,601.6000000000022,29026.16
28669.85,29266.66,28113.69,64615.79213,1845961218.843244,1502909,32291.20998,922549963.250758,28690.175,356.3100000000013,28838.16
29026.16,29379.83,28663.64,42575.47501,1233816136.1606576,961542,20470.2124,593281438.9381377,29021.735,-188.0,29505.61
28838.16,29677.0,28800.0,58415.83048,1709786814.901134,1288027,29071.98606,850975342.6424302,29238.5,667.4500000000007,28848.2
29505.6,29820.0,28300.0,49249.28459,1429517892.780502,1221021,23315.95073,676717267.0117224,29060.0,-657.3999999999978,28430.1
28848.19,29138.29,28395.23,30003.41028,865838535.326382,855425,14904.01102,430162358.6294252,28766.760000000002,-418.09000000000015,27668.79
28430.09,28631.01,27262.0,68244.36179,1903052694.6684127,1600637,32347.56935,901988104.11036,27946.504999999997,-761.2999999999993,27628.27
27668.8,27818.0,27353.0,40113.31069,1106923908.3058467,1003698,20094.09737,554561922.8053713,27585.5,-40.529999999998836,27598.75
27628.28,28331.42,26777.0,71155.11355,1971173412.435502,1534579,34398.83676,953153016.5096189,27554.21,-29.529999999998836,26968.62
27598.74,27630.14,26702.05,47635.31365,1295799109.011004,1257000,23270.11723,632925807.4925774,27166.095,-630.1200000000026,26795.01
26968.61,27091.12,25811.46,67207.93494,1777052127.731093,1351633,33147.27251,876487224.2550422,26451.29,-173.60000000000218,26775.28
26795.01,27045.45,26692.03,22814.90421,612062852.0866882,605049,10959.29947,294038915.03262633,26868.739999999998,-19.729999999999563,26917.62
26775.27,27200.0,26560.53,21594.8036,580801698.0002693,629537,10672.14983,287060095.3315276,26880.265,142.34999999999854,27162.14
26917.61,27663.59,26726.0,40430.08333,1104633264.131574,935914,19301.24631,527237637.33101344,27194.795,244.52999999999884,27033.84
27162.15,27296.89,26852.11,33270.45451,900273404.6010331,815642,15970.99932,432214355.0561344,27074.5,-128.3100000000013,27405.61
27033.85,27500.0,26544.71,42958.97785,1159714527.6352637,1016823,21634.02212,584185553.7913067,27022.355,371.76000000000204,26821.28
27405.62,27485.33,26361.2,49198.65143,1330745572.6946373,1057318,23659.89374,640128055.9068437,26923.265,-584.3400000000001,26880.26
26821.28,27183.6,26630.0,28754.13544,772864757.1633048,756295,13622.24812,366169697.3870807,26906.8,58.97999999999956,27102.43
