open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
1565.56000000,1610.00000000,1501.39000000,1511.43000000,752534.88570000,1172243167.72986300,913587,379449.34650000,591240910.36448200
1511.44000000,1564.43000000,1509.15000000,1551.09000000,308679.46450000,473220810.93493000,477203,157860.33640000,242038742.95130500
1551.09000000,1669.90000000,1542.02000000,1658.52000000,440570.99740000,702227917.87066300,710633,230258.02140000,367212821.33223700
1658.53000000,1679.26000000,1616.21000000,1626.66000000,494248.60090000,815990095.34685100,648695,242585.29460000,400675000.35025500
1626.65000000,1663.89000000,1604.00000000,1627.44000000,431729.69090000,703883818.61740500,550009,216146.21790000,352401960.26031500
1627.43000000,1648.09000000,1585.29000000,1626.29000000,407267.11560000,662442276.00664200,602844,203026.46690000,330314516.70695300
1626.28000000,1641.46000000,1535.00000000,1555.97000000,462275.32430000,742483248.77844800,664260,219529.25860000,352794905.89212400
1555.97000000,1641.00000000,1518.00000000,1611.94000000,646474.91660000,1010958308.52325900,832576,336800.33510000,527017728.01554900
1611.95000000,1632.84000000,1577.43000000,1601.09000000,532777.84660000,856294452.54907200,661710,255584.49690000,410800055.45538000
1601.08000000,1621.00000000,1552.54000000,1597.62000000,512093.38750000,810894459.59281200,721339,271725.69000000,430230772.25918000
1597.61000000,1606.83000000,1555.99000000,1572.10000000,313675.65740000,496009423.63276900,461988,159807.55300000,252625590.62853900
1572.10000000,1660.00000000,1566.33000000,1644.72000000,551767.91340000,892135111.02851000,747055,281776.01770000,455478541.95457700
1644.73000000,1647.53000000,1535.00000000,1566.20000000,595055.32810000,945663093.91811700,783703,287321.04070000,456477684.32953700
1566.21000000,1605.18000000,1561.63000000,1585.33000000,348856.67510000,550862274.14769300,565125,173798.96670000,274479554.84606200
1585.32000000,1647.77000000,1555.18000000,1641.68000000,474617.17090000,757974339.88815100,795274,246070.22170000,393191559.89692000
1641.67000000,1714.68000000,1626.85000000,1643.12000000,629188.88740000,1052104526.87265700,939545,314689.80730000,526350550.18805000
1643.12000000,1676.00000000,1625.93000000,1663.52000000,464815.03200000,766949169.43042200,714675,229573.04490000,378846983.90134100
1663.52000000,1695.29000000,1645.43000000,1666.38000000,308227.12950000,514857995.98579800,559308,153457.14200000,256353550.30522300
1666.39000000,1673.81000000,1609.30000000,1629.02000000,413579.67480000,680127291.92674400,680427,198540.87760000,326481458.83642700
1629.01000000,1658.56000000,1605.01000000,1614.29000000,384119.41970000,626831152.68758600,636588,191802.79320000,313101318.53959700
1614.28000000,1678.37000000,1613.14000000,1671.03000000,451922.40000000,743635216.72855200,746572,234924.05250000,386597449.58271800
1671.03000000,1697.91000000,1630.47000000,1650.43000000,417966.25390000,695793337.57743500,671033,205938.12070000,342878805.53836600
1650.42000000,1656.17000000,1524.40000000,1545.35000000,658011.69640000,1054014372.58339200,973879,317244.93660000,508466128.35203400
1545.35000000,1555.01000000,1490.00000000,1513.06000000,484654.21990000,743164643.51149900,682215,220852.49580000,338760669.12876300
1513.05000000,1543.00000000,1505.00000000,1538.51000000,289691.57080000,440657107.72833800,440506,141579.89910000,215368016.23377700
1538.50000000,1548.02000000,1493.08000000,1514.83000000,286758.37400000,438014692.30803400,490609,134744.97650000,205825023.57418200
1514.82000000,1526.10000000,1461.93000000,1505.24000000,643152.39040000,959644223.33507300,788402,306701.29950000,457512045.48224700
1505.25000000,1569.00000000,1482.66000000,1555.71000000,668964.37680000,1021642935.31397500,861338,329786.21830000,503918880.17247300
1555.70000000,1680.00000000,1542.55000000,1674.92000000,581207.85860000,928452953.94504900,852734,303747.75900000,485366943.87712100
1674.92000000,1742.97000000,1633.72000000,1637.84000000,832723.67310000,1408096156.86621600,1220762,422120.24950000,714045600.34428200
1637.83000000,1722.00000000,1630.51000000,1693.87000000,579934.66300000,970891863.05829500,940022,298275.53360000,499403199.62122200
1693.81000000,1713.13000000,1679.77000000,1691.62000000,267305.78130000,452969773.61025000,457982,131392.36670000,222669375.87025800
1691.62000000,1726.59000000,1666.14000000,1679.75000000,401023.04770000,680092027.33129800,634114,198379.91000000,336553647.75458700
1679.74000000,1719.89000000,1650.56000000,1703.27000000,451314.83350000,765198951.96357700,752116,233136.76100000,395372679.44045500
1703.27000000,1716.66000000,1636.30000000,1659.76000000,520354.46880000,874136698.28459100,837901,261067.83410000,438651496.24860200
1659.77000000,1666.95000000,1595.07000000,1643.14000000,528875.48090000,861982489.01657100,887617,261477.29490000,426091167.73571900
1643.15000000,1679.00000000,1628.75000000,1650.53000000,501305.97170000,829754759.56551500,849095,250058.09520000,413918144.47803300
1650.52000000,1664.66000000,1575.64000000,1607.80000000,512515.49820000,831164574.11824000,829249,244939.45620000,397377091.02658000
1607.80000000,1608.98000000,1557.33000000,1594.58000000,290188.03910000,462128193.10439300,532834,144096.23470000,229488719.31488000
1594.58000000,1651.26000000,1587.76000000,1641.36000000,308607.99410000,499002379.52012900,544008,153077.93880000,247588746.29951300
1641.37000000,1665.22000000,1608.00000000,1633.45000000,431861.41290000,707841123.05760700,679771,215202.89280000,352736478.15414300
1633.45000000,1647.52000000,1596.66000000,1605.23000000,393523.16470000,640150766.31120500,626287,192261.47580000,312879269.16716000
1605.24000000,1669.72000000,1595.00000000,1665.22000000,474456.82350000,780632253.60636600,725546,233810.69930000,384611475.60208200
1665.23000000,1677.86000000,1619.18000000,1647.86000000,423023.80820000,694364877.50440800,644400,209908.34800000,344522660.65260200
1647.86000000,1649.25000000,1544.39000000,1569.45000000,742816.59760000,1166573996.74423600,1008133,356042.86570000,558918754.56633500
1569.45000000,1577.53000000,1549.12000000,1566.73000000,237640.26060000,371865636.79445600,442158,114523.63960000,179242456.92659000
1566.74000000,1588.77000000,1553.05000000,1564.58000000,299240.74150000,469729098.46273800,505034,146252.85710000,229586295.58138200
1564.57000000,1583.49000000,1554.44000000,1565.84000000,307709.30110000,482146763.96639700,495130,151429.26660000,237315661.18363600
1565.84000000,1584.49000000,1536.14000000,1561.96000000,437947.90320000,682865640.74441200,601157,222838.17140000,347497907.93612200
1561.95000000,1570.89000000,1523.61000000,1532.38000000,460101.76580000,714552395.99327900,647197,227125.84140000,352776402.72266000
1532.38000000,1546.45000000,1408.00000000,1437.32000000,718485.13640000,1072396877.90757800,914935,340420.81590000,508749569.09481200
1437.32000000,1439.43000000,1368.39000000,1426.44000000,960262.45090000,1353741388.82725900,1155209,462418.62320000,651918990.29194400
1426.43000000,1478.07000000,1408.40000000,1471.97000000,1374859.62010000,1987926852.34837400,1467256,674055.15040000,975054688.50936100
1471.93000000,1594.19000000,1448.30000000,1580.33000000,1002355.09290000,1506839740.46965400,1253899,507616.32810000,763938923.68304300
1580.33000000,1693.49000000,1565.00000000,1673.45000000,1228063.60530000,1992277884.79634100,1671283,631386.30580000,1024622574.37087000
1673.44000000,1780.02000000,1655.24000000,1699.40000000,1283321.23550000,2195733827.91012200,1750035,666065.68120000,1139199433.36359000
1699.41000000,1716.90000000,1611.00000000,1649.96000000,963142.48330000,1602460705.89569500,1388384,463785.20990000,771970600.26940200
1649.95000000,1691.42000000,1632.18000000,1673.73000000,627985.61190000,1040043241.14028500,1004406,325261.19930000,538689586.43263500
1673.73000000,1800.00000000,1662.65000000,1789.27000000,907528.28250000,1569265196.45290500,1293055,476255.49480000,824016896.56973400
1789.26000000,1841.00000000,1747.47000000,1758.84000000,711614.73100000,1280189359.42454900,1115890,353131.96710000,635373026.20256500
1758.84000000,1841.36000000,1757.92000000,1780.68000000,541131.89080000,972006261.58020900,919093,275030.17560000,494016367.25881900
1780.67000000,1803.05000000,1722.00000000,1732.78000000,682848.12480000,1205036446.95122100,1083767,346231.46580000,611012606.17270500
1732.77000000,1835.00000000,1717.01000000,1801.23000000,742348.49990000,1324018564.21103500,1166036,399394.24600000,712603682.26002500
1801.23000000,1819.98000000,1710.12000000,1734.33000000,891287.60090000,1581074700.20938000,1286030,432312.72670000,767322678.06559900
1734.34000000,1857.16000000,1729.35000000,1813.79000000,732061.10300000,1312199315.57750500,1074713,388644.19100000,697106769.81296200
1813.78000000,1818.99000000,1726.40000000,1749.57000000,564770.14170000,1001546184.53213500,855600,283157.34940000,502222091.71024700
1749.57000000,1763.23000000,1713.09000000,1741.88000000,355679.37430000,620341997.18351200,620651,174749.28340000,304837439.68175700
1741.88000000,1801.00000000,1739.31000000,1773.88000000,354933.23720000,627660488.27267000,592618,178518.26690000,315691892.31925400
1773.88000000,1780.48000000,1686.13000000,1715.22000000,570563.50230000,987197970.21984000,810253,274628.43020000,475175903.71022400
1715.21000000,1795.73000000,1701.13000000,1772.99000000,536511.39730000,935507384.14967800,766887,286377.21640000,499476096.82435700
1773.00000000,1827.99000000,1772.48000000,1793.07000000,536865.59720000,967342311.08223400,810500,283946.54590000,511607922.31168300
1793.06000000,1829.69000000,1763.00000000,1793.61000000,579690.03940000,1039397383.78040000,876484,299825.65610000,537640857.62762200
1793.60000000,1847.28000000,1777.91000000,1821.52000000,554525.47620000,1006896937.02525400,902956,289189.75500000,525237162.94212700
1821.52000000,1842.83000000,1807.81000000,1820.79000000,272904.96740000,497460628.07619100,579259,138942.81390000,253278130.99517100
1820.80000000,1824.81000000,1771.70000000,1794.51000000,322122.93850000,580909276.16417100,637705,162593.22360000,293256522.06304200
1794.51000000,1839.99000000,1762.77000000,1810.51000000,628503.66190000,1131436800.43707300,1098681,318256.91810000,573104096.04297000
1810.51000000,1891.91000000,1802.01000000,1870.37000000,622208.64110000,1151551698.65326800,1087425,324318.04740000,599946499.35902300
1870.38000000,1942.98000000,1864.58000000,1908.69000000,548595.51550000,1045846831.79156300,1077031,281338.72500000,536320635.93476500
1908.68000000,1909.91000000,1853.70000000,1872.41000000,396241.43520000,743618300.02400000,916688,190334.89780000,357167485.35243600
1872.41000000,1882.61000000,1841.46000000,1863.72000000,284256.48730000,528718750.37856600,829061,143802.12850000,267474497.28292800
1863.73000000,1879.38000000,1847.00000000,1848.82000000,197905.54070000,368792680.92965800,902787,97213.28820000,181198387.33443300
1848.82000000,1873.99000000,1824.01000000,1858.92000000,287131.30790000,529878494.84037300,953458,146393.82950000,270125898.84310500
1858.91000000,1918.79000000,1846.40000000,1910.20000000,434739.79840000,816212712.86294700,586284,218877.85860000,410947350.79718000
1910.21000000,1937.37000000,1881.11000000,1889.86000000,405203.48920000,774389695.84593200,590527,209441.71720000,400266668.51136100
1889.86000000,1933.00000000,1852.65000000,1917.39000000,630844.41860000,1195663632.07873200,801456,318566.11280000,603818547.58289400
1917.40000000,2023.00000000,1899.55000000,2012.01000000,676164.51880000,1333377092.12459100,911569,358627.74440000,706952043.88310200
2012.00000000,2128.76000000,2009.22000000,2099.99000000,896307.39340000,1877719501.12373200,1182309,463960.15560000,971826170.99483100
2099.99000000,2111.85000000,2071.13000000,2090.60000000,321823.78510000,674260851.49151000,505299,159120.98000000,333402759.03928600
2090.61000000,2141.54000000,2072.72000000,2118.67000000,319880.43930000,673034613.41583500,529231,162518.13280000,341954921.31303200
2118.66000000,2120.51000000,2056.25000000,2074.00000000,426972.70710000,889433328.78650800,674817,206218.47990000,429616895.54751100
2073.99000000,2125.00000000,2051.00000000,2103.50000000,414244.61350000,867291463.56982800,636801,205943.01880000,431182409.02291400
2103.51000000,2104.60000000,1923.03000000,1933.73000000,775389.06020000,1547934187.85902000,1116849,381226.96410000,760478525.51605500
1933.74000000,1982.99000000,1914.43000000,1942.98000000,625336.24950000,1218184973.29939600,869619,307551.80710000,598986977.59446400
1942.98000000,1957.27000000,1825.00000000,1848.78000000,688876.61860000,1306179482.09194200,868887,339964.18250000,644708261.74439500
1848.77000000,1887.31000000,1841.64000000,1874.16000000,331007.58790000,616579601.31176500,451499,168125.14090000,313147831.35700900
1874.17000000,1882.01000000,1836.37000000,1862.00000000,344514.34440000,641362428.68936600,463928,180537.42010000,336129438.63123800
1862.01000000,1890.00000000,1806.00000000,1841.84000000,447864.05170000,826968889.24123200,682824,216968.96130000,400599962.39540300
1841.84000000,1877.86000000,1801.66000000,1866.10000000,457870.60470000,839226421.37824600,631766,238370.89710000,436940670.14806300
1866.10000000,1964.72000000,1785.00000000,1866.01000000,897709.72980000,1695903568.96090300,1182620,445589.98610000,842104509.42400100
1866.01000000,1940.96000000,1861.19000000,1908.68000000,727472.94660000,1383094120.67767000,959609,378523.29340000,719109759.95745500
1908.68000000,1923.88000000,1873.94000000,1890.94000000,387630.77910000,736203306.61415600,574483,201390.05560000,382298834.01980900
1890.93000000,1918.00000000,1883.05000000,1907.80000000,182046.14060000,346028241.29573700,335962,90910.25440000,172785540.85637000
1907.79000000,1939.00000000,1866.16000000,1870.09000000,355336.48880000,677913240.81466200,552933,176787.43370000,337334018.00262500
1870.08000000,1886.49000000,1806.12000000,1830.73000000,445519.17790000,818821593.69484900,647788,220514.81130000,405281273.92910800
1830.73000000,1881.87000000,1822.94000000,1870.08000000,373753.20270000,690907892.11045500,563768,184439.10310000,340877324.21815800
1870.09000000,1916.52000000,1842.64000000,1905.12000000,465185.25010000,871222153.95979200,751579,239749.08060000,449104177.86407200
1905.12000000,1918.26000000,1866.71000000,1877.07000000,354528.61440000,670584503.65961900,525802,172127.95090000,325526383.58993200
1877.07000000,1998.36000000,1875.65000000,1993.30000000,546608.87500000,1061183389.06811200,803612,281818.21880000,546945491.99312300
1993.30000000,2019.00000000,1860.00000000,1896.33000000,608106.99150000,1169939393.31277700,868626,309602.22270000,595756528.40079700
1896.33000000,1933.33000000,1867.59000000,1870.40000000,413268.83570000,787566158.19845600,625667,198046.18760000,377209171.37210500
1870.41000000,1883.97000000,1810.73000000,1847.56000000,625316.61680000,1157603209.76185400,885693,308193.85070000,570302849.74666500
1847.55000000,1861.88000000,1830.99000000,1846.52000000,304396.18600000,561440259.79089500,517737,154195.20710000,284409845.64507900
1846.53000000,1887.47000000,1790.51000000,1840.84000000,639933.38550000,1182254717.03221500,802140,315762.39530000,583244341.86798100
1840.83000000,1842.02000000,1772.68000000,1794.30000000,522096.07250000,944525427.02794200,679625,256341.50350000,463715175.20427200
1794.31000000,1818.63000000,1740.00000000,1807.45000000,565539.83090000,1002104362.59441100,696930,272766.58150000,483569848.95791600
1807.45000000,1817.03000000,1785.23000000,1795.11000000,212895.43730000,383397322.74478100,342566,107960.56180000,194416969.77728900
1795.12000000,1824.00000000,1789.82000000,1799.21000000,218101.09770000,393557662.80186000,348092,112091.49980000,202267370.36955800
1799.20000000,1846.70000000,1785.05000000,1816.20000000,388171.92610000,708011632.17470900,503728,200878.52120000,366433193.42835400
1816.21000000,1832.64000000,1796.20000000,1824.21000000,311238.67860000,565367254.10677700,466058,145796.26840000,264839999.72631800
1824.21000000,1837.50000000,1783.68000000,1822.12000000,352097.99130000,637776970.83385500,524718,174614.82380000,316362266.89123300
1822.12000000,1831.92000000,1771.12000000,1800.56000000,293755.31100000,531357170.82715200,480171,142539.40530000,257898809.71807600
1800.56000000,1829.54000000,1796.81000000,1812.32000000,243116.46760000,440291732.35087900,390917,125305.64520000,226950073.64205800
1812.31000000,1828.87000000,1807.06000000,1819.42000000,127754.43490000,232010582.30662800,272744,67168.56350000,122004402.44592800
1819.42000000,1828.98000000,1797.21000000,1804.91000000,161517.80530000,292535613.87812400,308391,76815.25180000,139145313.56843900
1804.91000000,1828.27000000,1792.01000000,1817.35000000,237498.94230000,430673377.91665300,411867,123914.68840000,224774189.86708500
1817.36000000,1872.50000000,1815.24000000,1854.05000000,396869.60970000,734581474.72246600,548587,222549.77690000,411731244.57850600
1854.06000000,1854.09000000,1777.60000000,1799.89000000,420846.14450000,761360360.59788700,554307,193455.11130000,349797434.17615900
1799.89000000,1818.81000000,1761.41000000,1805.60000000,350633.00890000,628769352.44257100,482899,164410.16270000,294794104.35496200
1805.61000000,1838.20000000,1796.99000000,1827.79000000,275690.68540000,501773973.87993700,375854,140633.10750000,255923842.59407100
1827.80000000,1836.12000000,1812.18000000,1829.89000000,138824.94060000,253710138.25056300,276383,69580.64790000,127156321.87459000
1829.89000000,1918.65000000,1823.60000000,1908.64000000,378392.43710000,705699886.22948800,549727,194805.86070000,363152161.53674800
1908.64000000,1927.62000000,1873.65000000,1892.60000000,313593.49420000,596236148.90988500,445895,158390.34480000,301175186.43959400
1892.60000000,1917.00000000,1881.19000000,1900.59000000,272665.84020000,519059196.24741600,422249,134288.16090000,255644547.73762700
1900.58000000,1907.13000000,1846.95000000,1873.63000000,319255.56810000,597360395.54403400,451133,149451.08700000,279624016.04226000
1873.63000000,1889.20000000,1840.00000000,1861.78000000,270496.60970000,504448237.27338000,422899,132786.93240000,247622735.20923100
1861.78000000,1910.00000000,1847.51000000,1906.68000000,313004.06580000,591169483.09944700,456788,157874.04030000,298230534.99306600
1906.69000000,1907.92000000,1881.60000000,1892.06000000,148818.24270000,282550389.94668800,292512,71248.10150000,135269927.94934600
1892.05000000,1914.63000000,1884.22000000,1890.01000000,172683.01190000,328166899.06235400,289973,85783.12010000,163026354.23802600
1890.00000000,1890.63000000,1778.00000000,1810.50000000,555361.26830000,1017689609.36225600,688879,253634.64500000,464638835.75944900
1810.49000000,1898.29000000,1797.18000000,1884.64000000,491407.21740000,907660359.42596600,616201,254098.02440000,469823908.55393200
1884.65000000,1897.80000000,1821.18000000,1832.13000000,429196.70640000,796856688.86671300,594071,201074.79930000,373411267.73444600
1832.12000000,1861.28000000,1828.31000000,1845.64000000,189270.48530000,349160385.10498000,347990,89218.13060000,164597259.31850700
1845.65000000,1855.00000000,1827.00000000,1840.37000000,198324.32520000,365037779.74288700,354623,92841.28830000,170881394.31631400
1840.37000000,1844.99000000,1715.03000000,1751.53000000,652324.66950000,1148312156.52559600,877410,298962.65330000,525884490.13860500
1751.52000000,1778.25000000,1738.72000000,1752.76000000,219956.24340000,385656545.95023800,378921,104970.10390000,184058191.29345500
1752.77000000,1759.33000000,1720.00000000,1742.57000000,302132.48190000,525467514.61960900,467392,154579.04660000,268848228.17760000
1742.57000000,1770.13000000,1724.22000000,1740.12000000,284268.00180000,495907901.66849300,498880,147060.37350000,256562479.93400000
1740.12000000,1750.03000000,1630.43000000,1650.95000000,415847.32700000,705586390.23398100,572996,198035.00600000,335772562.74237700
1650.95000000,1680.91000000,1626.01000000,1666.96000000,370774.76960000,611499814.54217600,458568,192425.51560000,317419943.08694800
1666.96000000,1729.50000000,1649.86000000,1717.92000000,311734.59040000,525393264.96220100,408176,158600.07400000,267168521.19164600
1717.91000000,1770.00000000,1714.26000000,1727.76000000,210914.92160000,366944179.32063700,359758,107260.84850000,186631806.83369700
1727.75000000,1747.84000000,1712.00000000,1720.95000000,156535.01280000,270948973.41748400,273858,79223.60390000,137159225.73341200
1720.95000000,1752.19000000,1698.00000000,1737.11000000,245162.75890000,422827205.77548900,366143,120432.59420000,207735564.79235500
1737.10000000,1796.99000000,1714.72000000,1791.99000000,328855.68460000,577529266.78921700,459724,168345.97910000,295848851.47750900
1791.99000000,1901.00000000,1787.38000000,1889.11000000,613755.88690000,1132377905.48890200,699689,301882.53500000,557089886.05291200
1889.10000000,1933.17000000,1865.98000000,1872.01000000,416714.57190000,791056016.14617600,536410,196874.68600000,373931527.58078600
1872.00000000,1936.42000000,1861.01000000,1892.63000000,401147.93240000,760352485.33668100,531784,196520.65020000,372600003.36950400
1892.63000000,1906.00000000,1864.77000000,1874.96000000,226910.29410000,427721477.76198000,356654,108047.87640000,203668990.45857100
1874.95000000,1930.00000000,1868.83000000,1898.80000000,338757.61580000,644415530.04061600,482753,170334.26420000,323870595.29258300
1898.80000000,1909.10000000,1837.18000000,1858.97000000,458743.86100000,859537162.35561400,518009,221834.27490000,415653994.57101500
1858.97000000,1912.53000000,1855.19000000,1889.58000000,366634.57070000,690855987.04133200,437184,195382.36640000,368354695.94773100
1889.58000000,1890.19000000,1816.56000000,1828.02000000,337836.57920000,626358502.58848000,437585,160645.26760000,297804857.12545500
1828.03000000,1880.00000000,1827.84000000,1851.99000000,241844.82810000,448678322.17682200,350823,123194.61910000,228587452.24364900
1851.99000000,1948.60000000,1825.01000000,1933.79000000,716538.10350000,1353630452.61544500,824889,345435.65260000,653049175.24502700
1933.80000000,1944.56000000,1909.44000000,1924.50000000,178373.36880000,343093755.61273600,307019,88294.47030000,169850518.15340400
1924.50000000,1959.20000000,1885.75000000,1937.48000000,255852.78320000,491981842.96013900,381133,127341.96230000,244921036.01352000
1937.49000000,1976.16000000,1933.55000000,1955.54000000,322102.42950000,631158998.81141600,404084,156608.64050000,306826484.73680200
1955.55000000,1967.08000000,1931.58000000,1936.20000000,205525.09840000,401186997.24983800,307691,93898.54220000,183304067.88205800
1936.19000000,1942.50000000,1894.51000000,1910.36000000,267633.47830000,512774138.21894900,362985,128057.05960000,245340739.07556300
1910.35000000,1958.00000000,1846.00000000,1846.17000000,456362.74100000,868009586.22327000,519031,225559.18200000,429043301.00454300
1846.17000000,1878.00000000,1826.00000000,1870.91000000,232944.34660000,432733381.05496700,355260,115143.08730000,213926654.20575500
1870.92000000,1876.00000000,1842.80000000,1865.24000000,125819.82730000,234001180.80462500,228589,62592.51970000,116432999.11736000
1865.24000000,1879.36000000,1856.15000000,1862.80000000,135046.37430000,252189550.05161000,234925,67977.91700000,126943043.66060800
1862.81000000,1905.50000000,1846.63000000,1880.40000000,247868.14940000,464186441.16338200,338462,123964.15400000,232197400.11132800
1880.41000000,1891.99000000,1862.38000000,1878.30000000,177771.61170000,333339876.93269600,256360,85214.33010000,159785569.13999600
1878.31000000,1902.00000000,1864.37000000,1871.82000000,264406.86730000,498567734.55913300,338468,127657.95260000,240728674.89619800
1871.82000000,2012.63000000,1862.59000000,2004.49000000,548861.42070000,1069502144.02619400,618276,275375.01890000,536826200.18952200
2004.49000000,2029.11000000,1898.39000000,1937.83000000,498724.03590000,982369872.01990000,604687,233071.08200000,459199490.67721600
1937.82000000,1946.37000000,1926.23000000,1931.41000000,135181.76630000,261553961.16751500,242818,65759.39380000,127241697.85754400
1931.41000000,1943.55000000,1914.00000000,1922.11000000,148667.10510000,286787440.45690100,253770,69691.91530000,134478359.19064900
1922.12000000,1936.18000000,1873.26000000,1911.20000000,277159.03490000,528662412.29765800,391391,134997.43870000,257602038.11976900
1911.21000000,1917.19000000,1875.73000000,1897.21000000,215780.50060000,409583830.87633300,315100,104433.40230000,198241004.72850600
1897.21000000,1922.04000000,1882.17000000,1888.63000000,218045.00050000,415268112.54340100,266831,108435.73970000,206536797.50756000
1888.64000000,1929.05000000,1878.00000000,1891.59000000,292907.51640000,556981450.45530100,353180,146238.33710000,278124518.64556500
