open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
24450.67000000,24476.05000000,23574.69000000,24182.21000000,379425.75365000,9101745945.99070800,11395957,188203.74268000,4515001623.43545310
24182.21000000,24599.59000000,23608.00000000,23940.20000000,398400.45437000,9596083721.51295270,11396877,198080.68369000,4771375630.51130810
23940.20000000,24132.35000000,22841.19000000,23185.29000000,343582.57453000,8087524100.39044000,11531424,170263.13353000,4008150118.21679960
23184.04000000,23219.13000000,22722.00000000,23157.07000000,191311.81010000,4406286300.27211680,9124568,94440.13964000,2175283940.90413120
23157.07000000,23689.99000000,23059.18000000,23554.85000000,202323.73623000,4716158181.22558950,9506015,101003.39278000,2354572412.69006830
23554.85000000,23897.99000000,23106.77000000,23492.09000000,283706.08590000,6659785788.32937360,11754195,141360.04845000,3318353869.99525000
23492.09000000,23600.00000000,23020.97000000,23141.57000000,264140.99894000,6172930936.03733470,9568743,131200.82704000,3066249880.67031860
23141.57000000,24000.00000000,23020.03000000,23628.97000000,315287.41737000,7441571085.49540830,9390487,157961.92667000,3728256787.11009410
23629.76000000,23796.93000000,23195.90000000,23465.32000000,239315.45219000,5603770010.23954760,7435815,119522.00584000,2798797976.70041000
23465.32000000,23476.95000000,21971.13000000,22354.34000000,319954.19785000,7167184765.74364950,8214639,156827.31366000,3512245357.18619130
22354.34000000,22410.00000000,22157.08000000,22346.57000000,121257.38132000,2706422995.68025610,4169260,60043.33153000,1340204531.15407010
22346.57000000,22662.09000000,22189.22000000,22430.24000000,154841.75786000,3473011455.18795160,4835978,77394.35765000,1735989090.89956100
22430.24000000,22602.19000000,22258.00000000,22410.00000000,203751.82957000,4569102169.18569090,6471278,102110.26304000,2289889200.16671640
22409.41000000,22557.91000000,21927.00000000,22197.96000000,292519.80912000,6517594938.24605280,7813394,145498.64219000,3242136502.65467320
22198.56000000,22287.00000000,21580.00000000,21705.44000000,301460.57272000,6641171704.24242130,8018963,150008.02488000,3304860256.10499370
21704.37000000,21834.99000000,20042.72000000,20362.22000000,443658.28584000,9403028764.70777380,10076702,217900.59621000,4619803522.04323720
20362.21000000,20367.78000000,19549.09000000,20150.69000000,618456.46710000,12344992788.91249570,12106261,308155.80993000,6151475123.53551420
20150.69000000,20686.51000000,19765.03000000,20455.73000000,427831.82133000,8651590672.46852580,10412300,213151.47855000,4310534195.90929190
20455.73000000,22150.00000000,20270.60000000,21997.11000000,430944.94288000,8982418413.80113910,9721933,218639.06880000,4558127964.92580440
21998.05000000,24500.00000000,21813.88000000,24113.48000000,687889.31259000,15824996078.60563840,14820760,346688.17025000,7976620081.70609870
24112.27000000,26386.87000000,23976.42000000,24670.41000000,699360.93423000,17465307097.88407330,15223589,351739.11994000,8783916247.67613780
24670.41000000,25196.97000000,23896.95000000,24285.66000000,581450.72984000,14291005743.89785140,12613034,291192.86696000,7157472156.96233370
