open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,price_range,close_to_open,target
1673.44,1780.02,1655.24,1699.4,1283321.2355,2195733827.910122,1750035,666065.6812,1139199433.36359,124.77999999999997,25.960000000000036,1649.96
1699.41,1716.9,1611.0,1649.96,963142.4833,1602460705.895695,1388384,463785.2099,771970600.2694019,105.90000000000009,-49.450000000000045,1673.73
1649.95,1691.42,1632.18,1673.73,627985.6119,1040043241.140285,1004406,325261.1993,538689586.4326351,59.24000000000001,23.779999999999973,1789.27
1673.73,1800.0,1662.65,1789.27,907528.2825,1569265196.452905,1293055,476255.4948,824016896.5697341,137.3499999999999,115.53999999999996,1758.84
1789.26,1841.0,1747.47,1758.84,711614.731,1280189359.424549,1115890,353131.9671,635373026.202565,93.52999999999997,-30.420000000000073,1780.68
1758.84,1841.36,1757.92,1780.68,541131.8908,972006261.580209,919093,275030.1756,494016367.25881904,83.43999999999983,21.840000000000146,1732.78
1780.67,1803.05,1722.0,1732.78,682848.1248,1205036446.951221,1083767,346231.4658,611012606.1727049,81.04999999999995,-47.8900000000001,1801.23
1732.77,1835.0,1717.01,1801.23,742348.4999,1324018564.211035,1166036,399394.246,712603682.2600249,117.99000000000001,68.46000000000004,1734.33
1801.23,1819.98,1710.12,1734.33,891287.6009,1581074700.20938,1286030,432312.7267,767322678.0655991,109.86000000000013,-66.90000000000009,1813.79
1734.34,1857.16,1729.35,1813.79,732061.103,1312199315.577505,1074713,388644.191,697106769.812962,127.81000000000017,79.45000000000005,1749.57
1813.78,1818.99,1726.4,1749.57,564770.1417,1001546184.532135,855600,283157.3494,502222091.71024704,92.58999999999992,-64.21000000000004,1741.88
1749.57,1763.23,1713.09,1741.88,355679.3743,620341997.183512,620651,174749.2834,304837439.681757,50.1400000000001,-7.689999999999827,1773.88
1741.88,1801.0,1739.31,1773.88,354933.2372,627660488.27267,592618,178518.2669,315691892.319254,61.690000000000055,32.0,1715.22
1773.88,1780.48,1686.13,1715.22,570563.5023,987197970.21984,810253,274628.4302,475175903.710224,94.34999999999991,-58.66000000000008,1772.99
1715.21,1795.73,1701.13,1772.99,536511.3973,935507384.1496781,766887,286377.2164,499476096.824357,94.59999999999991,57.77999999999997,1793.07
